P 100, 1300, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 100, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 100, 2100, 0, 0, 0, 0, 2, Height_Filter:_25/25
L -40.0, 71.0, 0.0, -40.0, 82.0, 0.0, 0, 0, 0
L -40.0, 82.0, 0.0, 14.0, 82.0, 0.0, 0, 0, 0
L 112.0, 71.0, 0.0, -28.0, 71.0, 0.0, 0, 0, 0
L -28.0, 71.0, 0.0, -40.0, 71.0, 0.0, 199, 21, 133
L 14.0, 140.0, 0.0, 0.0, 154.0, -13.0, 0, 0, 0
L 0.0, 154.0, -13.0, 0.0, 207.0, -13.0, 0, 0, 0
L 0.0, 207.0, -13.0, 2.0, 207.0, -13.0, 0, 0, 0
L 0.0, 226.0, -13.0, 2.0, 226.0, -13.0, 0, 0, 0
L 0.0, 226.0, -13.0, 0.0, 263.0, -13.0, 0, 0, 0
L 0.0, 263.0, -13.0, 2.0, 263.0, -13.0, 0, 0, 0
L 2.0, 282.0, -13.0, 0.0, 282.0, -13.0, 0, 0, 0
L 0.0, 282.0, -13.0, 0.0, 321.0, -13.0, 0, 0, 0
L 0.0, 321.0, -13.0, 14.0, 334.0, -13.0, 0, 0, 0
L 14.0, 334.0, -13.0, 28.0, 334.0, -13.0, 0, 0, 0
L 28.0, 334.0, -13.0, 28.0, 347.0, -10.0, 0, 0, 0
L 28.0, 347.0, -10.0, 34.0, 352.0, -4.0, 0, 0, 0
L 34.0, 352.0, -4.0, 39.0, 349.0, -11.0, 0, 0, 0
L 39.0, 349.0, -11.0, 46.0, 349.0, -7.0, 0, 0, 0
L 46.0, 349.0, -7.0, 48.0, 348.0, -14.0, 0, 0, 0
L 48.0, 348.0, -14.0, 55.0, 350.0, -8.0, 0, 0, 0
L 55.0, 350.0, -8.0, 55.0, 343.0, -16.0, 0, 0, 0
L 55.0, 343.0, -16.0, 55.0, 334.0, -13.0, 0, 0, 0
L 55.0, 334.0, -13.0, 69.0, 334.0, -13.0, 0, 0, 0
L 69.0, 334.0, -13.0, 83.0, 321.0, -13.0, 0, 0, 0
L 81.0, 263.0, -13.0, 83.0, 263.0, -13.0, 0, 0, 0
L 83.0, 263.0, -13.0, 82.0, 226.0, -13.0, 0, 0, 0
L 81.0, 226.0, -13.0, 81.0, 221.0, -13.0, 0, 0, 0
L 81.0, 207.0, -13.0, 83.0, 206.0, -13.0, 0, 0, 0
L 83.0, 206.0, -13.0, 83.0, 166.0, -13.0, 0, 0, 0
L 83.0, 166.0, -13.0, 83.0, 154.0, -7.0, 0, 0, 0
L 83.0, 154.0, -7.0, 69.0, 140.0, 0.0, 0, 0, 0
L 69.0, 140.0, 0.0, 69.0, 83.0, 0.0, 0, 0, 0
L 69.0, 83.0, 0.0, 125.0, 83.0, 0.0, 0, 0, 0
L 125.0, 83.0, 0.0, 125.0, 62.0, 0.0, 0, 0, 0
L 14.0, 82.0, 0.0, 14.0, 140.0, 0.0, 0, 0, 0
L -2.0, 210.0, -13.0, -70.0, 210.0, -13.0, 0, 0, 0
L -2.0, 222.0, -13.0, -96.0, 222.0, -13.0, 0, 0, 0
L -96.0, 222.0, -13.0, -97.0, 178.0, -13.0, 0, 0, 0
L -97.0, 178.0, -13.0, -100.0, 178.0, -13.0, 0, 0, 0
L -100.0, 178.0, -13.0, -100.0, 222.0, -13.0, 0, 0, 0
L -100.0, 222.0, -13.0, -166.0, 222.0, -13.0, 0, 0, 0
L -166.0, 222.0, -13.0, -166.0, 126.0, -13.0, 0, 0, 0
L -166.0, 126.0, -13.0, -100.0, 126.0, -13.0, 0, 0, 0
L -100.0, 126.0, -13.0, -100.0, 170.0, -13.0, 0, 0, 0
L -100.0, 170.0, -13.0, -97.0, 170.0, -13.0, 0, 0, 0
L -97.0, 170.0, -13.0, -97.0, 126.0, -13.0, 0, 0, 0
L -97.0, 126.0, -13.0, -70.0, 126.0, -13.0, 0, 0, 0
L -70.0, 126.0, -13.0, -70.0, 165.0, -13.0, 0, 0, 0
L -70.0, 165.0, -13.0, -70.0, 170.0, -13.0, 0, 0, 0
L -70.0, 178.0, -13.0, -70.0, 210.0, -13.0, 0, 0, 0
L -70.0, 170.0, -13.0, -68.0, 170.0, -13.0, 0, 0, 0
L -70.0, 178.0, -13.0, -68.0, 178.0, -13.0, 0, 0, 0
L -67.0, 178.0, -13.0, -67.0, 206.0, -13.0, 0, 0, 0
L -67.0, 206.0, -13.0, -14.0, 206.0, -13.0, 0, 0, 0
L -14.0, 206.0, -13.0, -14.0, 126.0, -13.0, 0, 0, 0
L -14.0, 126.0, -13.0, -66.0, 126.0, -13.0, 0, 0, 0
L -66.0, 126.0, -13.0, -67.0, 165.0, -13.0, 0, 0, 0
L -67.0, 165.0, -13.0, -67.0, 170.0, -13.0, 0, 0, 0
L -2.0, 266.0, -13.0, -97.0, 266.0, -13.0, 0, 0, 0
L -97.0, 266.0, -13.0, -97.0, 310.0, -13.0, 0, 0, 0
L -100.0, 318.0, -13.0, -98.0, 318.0, -13.0, 0, 0, 0
L -97.0, 310.0, -13.0, -98.0, 310.0, -13.0, 0, 0, 0
L -100.0, 318.0, -13.0, -100.0, 334.0, -13.0, 0, 0, 0
L -100.0, 334.0, -13.0, -152.0, 334.0, -13.0, 0, 0, 0
L -152.0, 334.0, -13.0, -152.0, 306.0, -13.0, 0, 0, 0
L -152.0, 306.0, -13.0, -170.0, 306.0, -13.0, 0, 0, 0
L -170.0, 306.0, -13.0, -170.0, 310.0, -13.0, 0, 0, 0
L -178.0, 306.0, -13.0, -178.0, 310.0, -13.0, 0, 0, 0
L -178.0, 310.0, -13.0, -194.0, 310.0, -13.0, 0, 0, 0
L -194.0, 310.0, -13.0, -194.0, 334.0, -13.0, 0, 0, 0
L -194.0, 334.0, -13.0, -156.0, 334.0, -13.0, 0, 0, 0
L -156.0, 310.0, -13.0, -156.0, 334.0, -13.0, 0, 0, 0
L -156.0, 310.0, -13.0, -170.0, 310.0, -13.0, 0, 0, 0
L -178.0, 306.0, -13.0, -194.0, 306.0, -13.0, 0, 0, 0
L -194.0, 306.0, -13.0, -194.0, 266.0, -13.0, 0, 0, 0
L -194.0, 266.0, -13.0, -100.0, 266.0, -13.0, 0, 0, 0
L -100.0, 266.0, -13.0, -100.0, 310.0, -13.0, 0, 0, 0
L -97.0, 318.0, -13.0, -97.0, 350.0, -13.0, 0, 0, 0
L -97.0, 350.0, -13.0, -111.0, 364.0, -13.0, 0, 0, 0
L -111.0, 364.0, -13.0, -110.0, 391.0, -13.0, 0, 0, 0
L -110.0, 391.0, -13.0, -97.0, 404.0, -13.0, 0, 0, 0
L -97.0, 404.0, -13.0, -70.0, 404.0, -13.0, 0, 0, 0
L -70.0, 404.0, -13.0, -56.0, 391.0, -13.0, 0, 0, 0
L -56.0, 391.0, -13.0, -56.0, 364.0, -13.0, 0, 0, 0
L -56.0, 364.0, -13.0, -70.0, 350.0, -13.0, 0, 0, 0
L -70.0, 350.0, -13.0, -70.0, 318.0, -13.0, 0, 0, 0
L -87.0, 370.0, -13.0, -90.0, 374.0, -13.0, 255, 255, 0
L -90.0, 381.0, -13.0, -87.0, 384.0, -13.0, 255, 255, 0
L -80.0, 384.0, -13.0, -77.0, 381.0, -13.0, 255, 255, 0
L -77.0, 374.0, -13.0, -80.0, 370.0, -13.0, 255, 255, 0
L -70.0, 278.0, -13.0, -70.0, 310.0, -13.0, 0, 0, 0
L -70.0, 310.0, -13.0, -68.0, 310.0, -13.0, 0, 0, 0
L -67.0, 310.0, -13.0, -66.0, 282.0, -13.0, 0, 0, 0
L -66.0, 282.0, -13.0, -2.0, 282.0, -13.0, 0, 0, 0
L -2.0, 282.0, -13.0, -2.0, 334.0, -13.0, 0, 0, 0
L -2.0, 334.0, -13.0, -66.0, 334.0, -13.0, 0, 0, 0
L -66.0, 334.0, -13.0, -67.0, 318.0, -13.0, 0, 0, 0
L -70.0, 278.0, -13.0, -2.0, 278.0, -13.0, 0, 0, 0
L 81.0, 207.0, -13.0, 81.0, 212.0, -13.0, 0, 0, 0
L 81.0, 212.0, -13.0, 83.0, 212.0, -13.0, 0, 0, 0
L 86.0, 210.0, -13.0, 86.0, 212.0, -13.0, 0, 0, 0
L 154.0, 210.0, -13.0, 86.0, 210.0, -13.0, 0, 0, 0
L 156.0, 222.0, -13.0, 86.0, 222.0, -13.0, 0, 0, 0
L 82.0, 226.0, -13.0, 81.0, 226.0, -13.0, 0, 0, 0
L 180.0, 178.0, -13.0, 180.0, 254.0, -13.0, 0, 0, 0
L 180.0, 254.0, -13.0, 128.0, 254.0, -13.0, 0, 0, 0
L 128.0, 254.0, -13.0, 128.0, 226.0, -13.0, 0, 0, 0
L 128.0, 226.0, -13.0, 156.0, 226.0, -13.0, 0, 0, 0
L 156.0, 226.0, -13.0, 156.0, 222.0, -13.0, 0, 0, 0
L 180.0, 170.0, -13.0, 182.0, 170.0, -13.0, 0, 0, 0
L 180.0, 178.0, -13.0, 182.0, 178.0, -13.0, 0, 0, 0
L 184.0, 178.0, -13.0, 184.0, 222.0, -13.0, 0, 0, 0
L 184.0, 222.0, -13.0, 250.0, 222.0, -13.0, 0, 0, 0
L 250.0, 222.0, -13.0, 250.0, 126.0, -13.0, 0, 0, 0
L 250.0, 126.0, -13.0, 184.0, 126.0, -13.0, 0, 0, 0
L 184.0, 126.0, -13.0, 184.0, 170.0, -13.0, 0, 0, 0
L 180.0, 170.0, -13.0, 180.0, 126.0, -13.0, 0, 0, 0
L 180.0, 126.0, -13.0, 154.0, 126.0, -13.0, 0, 0, 0
L 154.0, 126.0, -13.0, 154.0, 170.0, -13.0, 0, 0, 0
L 154.0, 178.0, -13.0, 152.0, 178.0, -13.0, 0, 0, 0
L 154.0, 170.0, -13.0, 152.0, 170.0, -13.0, 0, 0, 0
L 150.0, 170.0, -13.0, 150.0, 126.0, -13.0, 0, 0, 0
L 150.0, 126.0, -13.0, 98.0, 126.0, -13.0, 0, 0, 0
L 98.0, 126.0, -13.0, 98.0, 206.0, -13.0, 0, 0, 0
L 98.0, 206.0, -13.0, 150.0, 206.0, -13.0, 0, 0, 0
L 150.0, 178.0, -13.0, 150.0, 206.0, -13.0, 0, 0, 0
L 154.0, 178.0, -13.0, 154.0, 210.0, -13.0, 0, 0, 0
L 86.0, 278.0, -13.0, 154.0, 278.0, -13.0, 0, 0, 0
L 154.0, 278.0, -13.0, 154.0, 290.0, -13.0, 0, 0, 0
L 154.0, 290.0, -13.0, 154.0, 310.0, -13.0, 0, 0, 0
L 86.0, 266.0, -13.0, 180.0, 266.0, -13.0, 0, 0, 0
L 180.0, 266.0, -13.0, 180.0, 310.0, -13.0, 0, 0, 0
L 180.0, 318.0, -13.0, 180.0, 351.0, -15.0, 0, 0, 0
L 202.0, 338.0, -14.0, 180.0, 351.0, -15.0, 0, 0, 0
L 188.0, 347.0, -14.0, 187.0, 351.0, -16.0, 0, 0, 0
L 187.0, 351.0, -16.0, 179.0, 355.0, -16.0, 0, 0, 0
L 179.0, 355.0, -16.0, 174.0, 353.0, -14.0, 0, 0, 0
L 174.0, 353.0, -14.0, 167.0, 357.0, -14.0, 0, 0, 0
L 167.0, 357.0, -14.0, 162.0, 355.0, -14.0, 0, 0, 0
L 162.0, 355.0, -14.0, 155.0, 349.0, -13.0, 0, 0, 0
L 155.0, 349.0, -13.0, 153.0, 352.0, -14.0, 0, 0, 0
L 153.0, 352.0, -14.0, 152.0, 352.0, -14.0, 0, 0, 0
L 152.0, 352.0, -14.0, 154.0, 349.0, -13.0, 0, 0, 0
L 154.0, 349.0, -13.0, 154.0, 318.0, -13.0, 0, 0, 0
L 180.0, 318.0, -13.0, 184.0, 318.0, -13.0, 0, 0, 0
L 180.0, 310.0, -13.0, 184.0, 310.0, -13.0, 0, 0, 0
L 184.0, 310.0, -13.0, 184.0, 266.0, -13.0, 0, 0, 0
L 184.0, 266.0, -13.0, 250.0, 266.0, -13.0, 0, 0, 0
L 250.0, 266.0, -13.0, 250.0, 334.0, -13.0, 0, 0, 0
L 250.0, 334.0, -13.0, 245.0, 334.0, -13.0, 0, 0, 0
L 238.0, 334.0, -13.0, 221.0, 334.0, -13.0, 0, 0, 0
L 209.0, 334.0, -13.0, 184.0, 334.0, -13.0, 0, 0, 0
L 184.0, 334.0, -13.0, 184.0, 318.0, -13.0, 0, 0, 0
L 221.0, 334.0, -13.0, 218.0, 338.0, -13.0, 0, 0, 0
L 218.0, 338.0, -13.0, 242.0, 338.0, -13.0, 0, 0, 0
L 238.0, 334.0, -13.0, 242.0, 338.0, -13.0, 0, 0, 0
L 249.0, 338.0, -13.0, 245.0, 334.0, -13.0, 0, 0, 0
L 249.0, 338.0, -13.0, 254.0, 338.0, -14.0, 0, 0, 0
L 254.0, 338.0, -14.0, 254.0, 328.0, -18.0, 0, 0, 0
L 254.0, 328.0, -18.0, 258.0, 323.0, -19.0, 0, 0, 0
L 258.0, 323.0, -19.0, 263.0, 324.0, -19.0, 0, 0, 0
L 263.0, 324.0, -19.0, 275.0, 322.0, -20.0, 0, 0, 0
L 275.0, 322.0, -20.0, 278.0, 329.0, -22.0, 0, 0, 0
L 278.0, 329.0, -22.0, 274.0, 341.0, -24.0, 0, 0, 0
L 274.0, 341.0, -24.0, 278.0, 355.0, -22.0, 0, 0, 0
L 278.0, 355.0, -22.0, 276.0, 365.0, -21.0, 0, 0, 0
L 276.0, 365.0, -21.0, 268.0, 369.0, -20.0, 0, 0, 0
L 268.0, 377.0, -21.0, 268.0, 369.0, -21.0, 0, 0, 0
L 268.0, 377.0, -21.0, 263.0, 380.0, -22.0, 0, 0, 0
L 263.0, 380.0, -22.0, 253.0, 381.0, -25.0, 0, 0, 0
L 253.0, 381.0, -25.0, 249.0, 388.0, -27.0, 0, 0, 0
L 249.0, 388.0, -27.0, 240.0, 386.0, -28.0, 0, 0, 0
L 240.0, 386.0, -28.0, 231.0, 390.0, -29.0, 0, 0, 0
