P -400, 2600, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P -400, 2800, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -400, 3000, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -400, 3200, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 596.3, -551.3, -226.2, 595.8, -514.2, -234.6, 0, 0, 0
L 595.8, -514.2, -234.6, 641.4, -515.3, -229.7, 0, 0, 0
L 641.4, -515.3, -229.7, 693.0, -513.9, -236.8, 0, 0, 0
L 693.0, -513.9, -236.8, 739.1, -526.4, -266.6, 0, 0, 0
L 739.1, -526.4, -266.6, 789.0, -537.9, -284.8, 0, 0, 0
L 789.0, -537.9, -284.8, 838.6, -563.7, -291.8, 0, 0, 0
L 838.6, -563.7, -291.8, 886.6, -587.7, -285.1, 0, 0, 0
L 886.6, -587.7, -285.1, 934.8, -642.3, -311.8, 0, 0, 0
L 934.8, -642.3, -311.8, 981.0, -696.5, -304.8, 0, 0, 0
L 981.0, -696.5, -304.8, 1021.0, -739.2, -302.5, 0, 0, 0
L 1021.0, -739.2, -302.5, 1057.0, -772.4, -309.3, 0, 0, 0
L 1057.0, -772.4, -309.3, 1075.6, -772.9, -326.2, 0, 0, 0
L 1075.6, -772.9, -326.2, 1076.2, -869.3, -326.2, 0, 0, 0
L 1076.2, -869.3, -326.2, 1075.8, -968.3, -374.2, 0, 0, 0
L 1075.8, -968.3, -374.2, 1066.5, -1015.9, -373.8, 0, 0, 0
L 1066.5, -1015.9, -373.8, 1087.5, -1097.3, -383.8, 0, 0, 0
L 1087.5, -1097.3, -383.8, 1121.3, -1097.1, -374.2, 0, 0, 0
L 1121.3, -1097.1, -374.2, 1130.2, -1049.7, -373.6, 0, 0, 0
L 1130.2, -1049.7, -373.6, 1130.9, -1015.3, -373.7, 0, 0, 0
L 1130.9, -1015.3, -373.7, 1119.7, -965.3, -373.9, 0, 0, 0
L 1119.7, -965.3, -373.9, 1119.8, -773.5, -326.4, 0, 0, 0
L 1119.8, -773.5, -326.4, 1199.2, -772.7, -308.9, 0, 0, 0
