P 100.0000, 900.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100.0000, 1100.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 100.0000, 1300.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L 418.0000, 467.0000, 82.0000, -409.0000, 469.0000, 87.0000, 0, 0, 0
L -409.0000, 469.0000, 87.0000, -409.0000, -514.0000, 87.0000, 0, 0, 0
L -409.0000, -514.0000, 87.0000, 420.0000, -514.0000, 87.0000, 0, 0, 0
L 119.0000, 12.0000, 3.0000, 131.7483, -0.7483, 3.0000, 114, 114, 114
L 138.0000, -7.0000, 3.0000, 131.0000, -34.0000, 3.0000, 114, 114, 114
L 131.0000, -34.0000, 3.0000, 122.6985, -36.1522, 3.0000, 114, 114, 114
L 104.0000, -41.0000, 3.0000, 89.1106, -26.8196, 3.0000, 114, 114, 114
L 83.0000, -21.0000, 3.0000, 91.0000, 4.0000, 3.0000, 114, 114, 114
L 91.0000, 4.0000, 3.0000, 99.3131, 6.3752, 3.0000, 114, 114, 114
L 131.7483, -0.7483, 3.0000, 122.6985, -36.1522, 3.0000, 114, 114, 114
L 122.6985, -36.1522, 3.0000, 89.1106, -26.8196, 3.0000, 114, 114, 114
L 89.1106, -26.8196, 3.0000, 99.3131, 6.3752, 3.0000, 114, 114, 114
L 99.3131, 6.3752, 3.0000, 131.7483, -0.7483, 3.0000, 114, 114, 114
L 367.0000, 347.0000, 3.0000, 367.0000, 429.0000, 3.0000, 0, 0, 0
L 367.0000, 429.0000, 3.0000, 304.0000, 429.0000, 3.0000, 0, 0, 0
L 304.0000, 429.0000, 3.0000, 304.0000, 394.8234, 3.0000, 0, 0, 0
L 300.0000, 350.0000, 3.0000, 300.0000, 319.0000, 3.0000, 0, 0, 0
L 288.0000, 312.0000, 3.0000, 277.0000, 312.0000, 3.0000, 0, 0, 0
L 255.0000, 319.0000, 3.0000, 255.0000, 323.0000, 3.0000, 0, 0, 0
L 295.0000, 323.0000, 3.0000, 295.0000, 372.0000, 3.0000, 0, 0, 0
L 295.0000, 323.0000, 26.0000, 295.0000, 372.0000, 26.0000, 125, 125, 125
L 248.0000, 406.0000, 3.0000, 232.0000, 406.0000, 3.0000, 0, 0, 0
L 248.0000, 406.0000, 26.0000, 232.0000, 406.0000, 26.0000, 125, 125, 125
L 232.0000, 406.0000, 3.0000, 232.0000, 323.0000, 3.0000, 0, 0, 0
L 232.0000, 406.0000, 26.0000, 232.0000, 323.0000, 26.0000, 125, 125, 125
L 237.0000, 323.0000, 3.0000, 237.0000, 319.0000, 3.0000, 0, 0, 0
L 228.0000, 411.0000, 3.0000, 299.0000, 411.0000, 3.0000, 0, 0, 0
L 299.0000, 411.0000, 3.0000, 299.0000, 433.0000, 3.0000, 0, 0, 0
L 299.0000, 433.0000, 3.0000, 371.0215, 433.9733, 3.0000, 0, 0, 0
L 329.0000, 342.0000, 3.0000, 329.0000, 350.0000, 3.0000, 0, 0, 0
L 323.0000, 350.0000, 3.0000, 323.0000, 362.0000, 3.0000, 0, 0, 0
L 329.0000, 362.0000, 3.0000, 329.0000, 391.0000, 3.0000, 0, 0, 0
L 334.0000, 394.8234, 3.0000, 334.0000, 347.0000, 3.0000, 0, 0, 0
L 334.0000, 347.0000, 3.0000, 367.0000, 347.0000, 3.0000, 0, 0, 0
L 317.0000, 290.0000, 3.0000, 317.0000, 320.0000, 3.0000, 0, 0, 0
L 287.0000, 241.0000, 3.0000, 287.0000, 247.0000, 3.0000, 0, 0, 0
L 272.0000, 252.0000, 3.0000, 355.0000, 252.0000, 3.0000, 0, 0, 0
L 355.0000, 252.0000, 3.0000, 355.0000, 315.0000, 3.0000, 0, 0, 0
L 355.0000, 315.0000, 3.0000, 322.0000, 315.0000, 3.0000, 0, 0, 0
L 322.0000, 315.0000, 3.0000, 322.0000, 286.0000, 3.0000, 0, 0, 0
L 267.0000, 290.0000, 3.0000, 277.0000, 290.0000, 3.0000, 0, 0, 0
L 288.0000, 290.0000, 3.0000, 317.0000, 290.0000, 3.0000, 0, 0, 0
L 211.0000, 215.0000, 3.0000, 211.0000, 265.0000, 3.0000, 0, 0, 0
L 117.0000, 311.0000, 3.0000, -9.0000, 311.0000, 3.0000, 0, 0, 0
L -68.0000, 341.0000, 3.0000, -69.0000, 420.0000, 3.0000, 0, 0, 0
L -216.0000, 380.0000, 3.0000, -216.0000, 369.0000, 3.0000, 0, 0, 0
L -216.0000, 369.0000, 3.0000, -211.0000, 369.0000, 3.0000, 0, 0, 0
L -206.0000, 352.0000, 3.0000, -206.0000, 386.0000, 3.0000, 0, 0, 0
L -187.0000, 352.0000, 3.0000, -187.0000, 348.0000, 3.0000, 0, 0, 0
L -89.0000, 306.0000, 3.0000, -98.0000, 311.0000, 3.0000, 0, 0, 0
L -98.0000, 311.0000, 3.0000, -104.0000, 303.0000, 3.0000, 0, 0, 0
L -104.0000, 303.0000, 3.0000, -136.0000, 303.0000, 3.0000, 0, 0, 0
L -136.0000, 303.0000, 3.0000, -136.0000, 415.0000, 3.0000, 0, 0, 0
L -136.0000, 415.0000, 3.0000, -74.0000, 415.0000, 3.0000, 0, 0, 0
L -74.0000, 415.0000, 3.0000, -74.0000, 341.0000, 3.0000, 0, 0, 0
L -74.0000, 341.0000, 3.0000, -76.0000, 342.0000, 3.0000, 0, 0, 0
L -76.0000, 342.0000, 3.0000, -82.0000, 333.0000, 3.0000, 0, 0, 0
L -82.0000, 333.0000, 3.0000, -75.0000, 326.0000, 3.0000, 0, 0, 0
L -68.0000, 335.0000, 3.0000, -14.0000, 335.0000, 3.0000, 0, 0, 0
L -1.0000, 305.0000, 3.0000, 110.0000, 305.0000, 3.0000, 0, 0, 0
L -14.0000, 305.0000, 26.0000, 123.0000, 305.0000, 26.0000, 125, 125, 125
L 123.0000, 395.0000, 3.0000, 205.0000, 395.0000, 3.0000, 0, 0, 0
L 123.0000, 395.0000, 26.0000, 205.0000, 395.0000, 26.0000, 125, 125, 125
L 205.0000, 395.0000, 3.0000, 205.0000, 93.0000, 3.0000, 0, 0, 0
L 205.0000, 395.0000, 26.0000, 205.0000, 93.0000, 26.0000, 125, 125, 125
L 153.0000, 83.0000, 3.0000, 164.0000, 83.0000, 3.0000, 0, 0, 0
L 251.0000, 143.0000, 3.0000, 251.0000, 150.0000, 3.0000, 0, 0, 0
L 246.0000, 147.0000, 3.0000, 213.0000, 147.0000, 3.0000, 0, 0, 0
L 246.0000, 147.0000, 26.0000, 213.0000, 147.0000, 26.0000, 125, 125, 125
L 213.0000, 147.0000, 3.0000, 213.0000, 177.0000, 3.0000, 0, 0, 0
L 213.0000, 147.0000, 26.0000, 213.0000, 177.0000, 26.0000, 125, 125, 125
L 259.0000, 210.0000, 3.0000, 296.0000, 210.0000, 3.0000, 0, 0, 0
L 259.0000, 210.0000, 26.0000, 296.0000, 210.0000, 26.0000, 125, 125, 125
L 296.0000, 210.0000, 3.0000, 296.0000, 177.0000, 3.0000, 0, 0, 0
L 296.0000, 177.0000, 3.0000, 246.0000, 177.0000, 3.0000, 0, 0, 0
L 296.0000, 177.0000, 26.0000, 246.0000, 177.0000, 26.0000, 125, 125, 125
L 246.0000, 177.0000, 3.0000, 246.0000, 167.0000, 3.0000, 0, 0, 0
L 246.0000, 177.0000, 26.0000, 246.0000, 147.0000, 26.0000, 125, 125, 125
L 251.0000, 172.0000, 3.0000, 286.0000, 172.0000, 3.0000, 0, 0, 0
L 154.0000, 145.0000, 3.0000, 154.0000, 185.0000, 3.0000, 0, 0, 0
L 149.0000, 189.0000, 3.0000, 149.0000, 151.0000, 3.0000, 0, 0, 0
L 149.0000, 151.0000, 3.0000, 123.0000, 151.0000, 3.0000, 0, 0, 0
L -1.0000, 263.0000, 3.0000, -1.0000, 270.0000, 3.0000, 0, 0, 0
L -14.0000, 163.0000, 3.0000, -130.0000, 163.0000, 3.0000, 0, 0, 0
L -14.0000, 163.0000, 26.0000, -130.0000, 163.0000, 26.0000, 125, 125, 125
L -130.0000, 183.0000, 3.0000, -176.0000, 184.0000, 3.0000, 204, 51, 0
L -176.0000, 184.0000, 3.0000, -177.0000, 240.0000, 3.0000, 204, 51, 0
L -177.0000, 240.0000, 3.0000, -196.0000, 240.0000, 3.0000, 204, 51, 0
L -196.0000, 240.0000, 3.0000, -196.0000, 255.0000, 3.0000, 0, 0, 0
L -196.0000, 240.0000, 26.0000, -196.0000, 255.0000, 26.0000, 125, 125, 125
L -196.0000, 255.0000, 3.0000, -97.0000, 256.0000, 3.0000, 0, 0, 0
L -196.0000, 255.0000, 26.0000, -97.0000, 256.0000, 26.0000, 125, 125, 125
L -102.0000, 261.0000, 3.0000, -201.0000, 260.0000, 3.0000, 0, 0, 0
L -201.0000, 260.0000, 3.0000, -201.0000, 158.0000, 3.0000, 0, 0, 0
L -201.0000, 158.0000, 3.0000, -8.0000, 158.0000, 3.0000, 0, 0, 0
L -8.0000, 257.0000, 3.0000, 117.0000, 257.0000, 3.0000, 0, 0, 0
L 117.0000, 257.0000, 3.0000, 117.0000, 151.0000, 3.0000, 0, 0, 0
L 117.0000, 151.0000, 3.0000, 43.0000, 151.0000, 3.0000, 0, 0, 0
L 334.0000, 203.0000, 3.0000, 334.0000, 215.0000, 3.0000, 0, 0, 0
L 334.0000, 215.0000, 3.0000, 344.0000, 222.0000, 3.0000, 0, 0, 0
L 344.0000, 222.0000, 3.0000, 354.0000, 216.0000, 3.0000, 0, 0, 0
L 354.0000, 216.0000, 3.0000, 355.0000, 204.0000, 3.0000, 0, 0, 0
L 355.0000, 204.0000, 3.0000, 344.0000, 198.0000, 3.0000, 0, 0, 0
L 344.0000, 198.0000, 3.0000, 334.0000, 203.0000, 3.0000, 0, 0, 0
L 372.0000, 169.0000, 3.0000, 338.0000, 169.0000, 3.0000, 0, 0, 0
L 372.0000, 169.0000, 26.0000, 338.0000, 169.0000, 26.0000, 125, 125, 125
L 334.0000, 173.0000, 3.0000, 376.0000, 173.0000, 3.0000, 0, 0, 0
L 376.0000, 101.0000, 3.0000, 330.0000, 101.0000, 3.0000, 0, 0, 0
L 330.0000, 101.0000, 3.0000, 330.0000, 96.0000, 3.0000, 0, 0, 0
