P -3000.0000, 1200.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -3000.0000, 1400.0000, 0.0000,  0, 0, 0,  2,  www.eqmaps.info
P -3000.0000, 1600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -803.0000, -130.0000, 89.0000,  -812.0000, -130.0000, 90.0000,  100, 50, 0
L -781.0000, -129.0000, 89.0000,  -792.0000, -130.0000, 89.0000,  100, 50, 0
L -782.0000, -87.0000, 89.0000,  -781.0000, -129.0000, 89.0000,  100, 50, 0
L -813.0000, -88.0000, 89.0000,  -782.0000, -87.0000, 89.0000,  100, 50, 0
L -812.0000, -130.0000, 90.0000,  -813.0000, -88.0000, 89.0000,  100, 50, 0
L -88.0000, -221.0000, -18.0000,  -91.0000, -220.0000, -16.0000,  100, 50, 0
L -85.0000, -208.0000, -17.0000,  -88.0000, -221.0000, -18.0000,  100, 50, 0
L -130.0000, -196.0000, -16.0000,  -85.0000, -208.0000, -17.0000,  100, 50, 0
L -133.0000, -209.0000, -16.0000,  -130.0000, -196.0000, -16.0000,  100, 50, 0
L -137.0000, -207.0000, -16.0000,  -133.0000, -209.0000, -16.0000,  100, 50, 0
L -140.0000, -216.0000, -16.0000,  -137.0000, -207.0000, -16.0000,  100, 50, 0
L -136.0000, -217.0000, -17.0000,  -140.0000, -216.0000, -16.0000,  100, 50, 0
L -139.0000, -229.0000, -17.0000,  -136.0000, -217.0000, -17.0000,  100, 50, 0
L -95.0000, -242.0000, -18.0000,  -139.0000, -229.0000, -17.0000,  100, 50, 0
L -91.0000, -230.0000, -18.0000,  -95.0000, -242.0000, -18.0000,  100, 50, 0
L -128.0000, -198.0000, -16.0000,  -136.0000, -228.0000, -16.0000,  100, 50, 0
L -88.0000, -209.0000, -16.0000,  -128.0000, -198.0000, -16.0000,  100, 50, 0
L -91.0000, -220.0000, -16.0000,  -88.0000, -209.0000, -16.0000,  100, 50, 0
L -96.0000, -240.0000, -16.0000,  -91.0000, -230.0000, -18.0000,  100, 50, 0
L -136.0000, -228.0000, -16.0000,  -96.0000, -240.0000, -16.0000,  100, 50, 0
L 533.0000, 87.0000, -38.0000,  491.0000, 84.0000, -37.0000,  100, 50, 0
L 533.0000, 76.0000, -38.0000,  533.0000, 87.0000, -38.0000,  100, 50, 0
L 535.0000, 56.0000, -38.0000,  534.0000, 65.0000, -38.0000,  100, 50, 0
L 493.0000, 53.0000, -37.0000,  535.0000, 56.0000, -38.0000,  100, 50, 0
L 491.0000, 84.0000, -37.0000,  493.0000, 53.0000, -37.0000,  100, 50, 0
L 690.0000, -1173.0000, -43.0000,  700.0000, -1173.0000, -43.0000,  0, 0, 0
L 690.0000, -1176.0000, -43.0000,  690.0000, -1173.0000, -43.0000,  0, 0, 0
L 701.0000, -1176.0000, -44.0000,  690.0000, -1176.0000, -43.0000,  0, 0, 0
L 702.0000, -1085.0000, -44.0000,  701.0000, -1176.0000, -44.0000,  0, 0, 0
L 688.0000, -1084.0000, -43.0000,  702.0000, -1085.0000, -44.0000,  0, 0, 0
L 688.0000, -1080.0000, -43.0000,  688.0000, -1084.0000, -43.0000,  0, 0, 0
L 679.0000, -1080.0000, -43.0000,  688.0000, -1080.0000, -43.0000,  0, 0, 0
L 679.0000, -1084.0000, -43.0000,  679.0000, -1080.0000, -43.0000,  0, 0, 0
L 667.0000, -1085.0000, -43.0000,  679.0000, -1084.0000, -43.0000,  0, 0, 0
L 667.0000, -1176.0000, -43.0000,  667.0000, -1085.0000, -43.0000,  0, 0, 0
L 679.0000, -1176.0000, -43.0000,  667.0000, -1176.0000, -43.0000,  0, 0, 0
L 679.0000, -1173.0000, -43.0000,  679.0000, -1176.0000, -43.0000,  0, 0, 0
L 669.0000, -1173.0000, -43.0000,  679.0000, -1173.0000, -43.0000,  0, 0, 0
L 669.0000, -1156.0000, -43.0000,  669.0000, -1173.0000, -43.0000,  0, 0, 0
L 676.0000, -1156.0000, -43.0000,  669.0000, -1156.0000, -43.0000,  205, 133, 63
L 676.0000, -1145.0000, -43.0000,  676.0000, -1156.0000, -43.0000,  205, 133, 63
L 673.0000, -1145.0000, -43.0000,  676.0000, -1145.0000, -43.0000,  205, 133, 63
L 673.0000, -1153.0000, -43.0000,  673.0000, -1145.0000, -43.0000,  205, 133, 63
L 669.0000, -1153.0000, -43.0000,  673.0000, -1153.0000, -43.0000,  205, 133, 63
L 669.0000, -1131.0000, -43.0000,  669.0000, -1153.0000, -43.0000,  0, 0, 0
L 669.0000, -1131.0000, -43.0000,  679.0000, -1131.0000, -43.0000,  0, 0, 0
L 669.0000, -1087.0000, -43.0000,  669.0000, -1129.0000, -43.0000,  0, 0, 0
L 700.0000, -1087.0000, -43.0000,  669.0000, -1087.0000, -43.0000,  0, 0, 0
L 700.0000, -1129.0000, -43.0000,  700.0000, -1087.0000, -43.0000,  0, 0, 0
L 700.0000, -1131.0000, -43.0000,  689.0000, -1131.0000, -43.0000,  0, 0, 0
L 700.0000, -1173.0000, -43.0000,  700.0000, -1131.0000, -43.0000,  0, 0, 0
L 829.0000, -1412.0000, -47.0000,  818.0000, -1412.0000, -47.0000,  100, 50, 0
L 829.0000, -1409.0000, -47.0000,  829.0000, -1412.0000, -47.0000,  100, 50, 0
L 816.0000, -1409.0000, -47.0000,  829.0000, -1409.0000, -47.0000,  100, 50, 0
L 816.0000, -1456.0000, -47.0000,  816.0000, -1409.0000, -47.0000,  100, 50, 0
L 829.0000, -1456.0000, -47.0000,  816.0000, -1456.0000, -47.0000,  100, 50, 0
