L 258.0, 880.0, 162.0, 259.0, 873.0, 169.0, 0, 204, 0
L 256.0, 887.0, 156.0, 258.0, 880.0, 162.0, 0, 204, 0
L 251.0, 892.0, 150.0, 256.0, 887.0, 156.0, 0, 204, 0
L 246.0, 897.0, 145.0, 251.0, 892.0, 150.0, 0, 204, 0
L 238.0, 900.0, 138.0, 246.0, 897.0, 145.0, 0, 204, 0
L 230.0, 901.0, 132.0, 238.0, 900.0, 138.0, 0, 204, 0
L 224.0, 901.0, 127.0, 230.0, 901.0, 132.0, 0, 204, 0
L 215.0, 898.0, 120.0, 224.0, 901.0, 127.0, 0, 204, 0
L 205.0, 888.0, 110.0, 215.0, 898.0, 120.0, 0, 204, 0
L 201.0, 880.0, 104.0, 205.0, 888.0, 110.0, 0, 204, 0
L 199.0, 871.0, 97.0, 201.0, 880.0, 104.0, 0, 204, 0
L 200.0, 863.0, 91.0, 199.0, 871.0, 97.0, 0, 204, 0
L 203.0, 854.0, 85.0, 200.0, 863.0, 91.0, 0, 204, 0
L 208.0, 848.0, 80.0, 203.0, 854.0, 85.0, 0, 204, 0
L 216.0, 842.0, 74.0, 208.0, 848.0, 80.0, 0, 204, 0
L 222.0, 839.0, 69.0, 216.0, 842.0, 74.0, 0, 204, 0
L 232.0, 837.0, 62.0, 222.0, 839.0, 69.0, 0, 204, 0
L 242.0, 837.0, 56.0, 232.0, 837.0, 62.0, 0, 204, 0
L 252.0, 842.0, 49.0, 242.0, 837.0, 56.0, 0, 204, 0
L 258.0, 846.0, 44.0, 252.0, 842.0, 49.0, 0, 204, 0
L 265.0, 854.0, 37.0, 258.0, 846.0, 44.0, 0, 204, 0
L 267.0, 861.0, 33.0, 265.0, 854.0, 37.0, 0, 204, 0
L 282.0, 888.0, 165.0, 284.0, 875.0, 171.0, 0, 204, 0
L 277.0, 900.0, 160.0, 282.0, 888.0, 165.0, 0, 204, 0
L 270.0, 911.0, 154.0, 277.0, 900.0, 160.0, 0, 204, 0
L 258.0, 920.0, 148.0, 270.0, 911.0, 154.0, 0, 204, 0
L 244.0, 927.0, 142.0, 258.0, 920.0, 148.0, 0, 204, 0
L 231.0, 929.0, 137.0, 244.0, 927.0, 142.0, 0, 204, 0
L 213.0, 927.0, 129.0, 231.0, 929.0, 137.0, 0, 204, 0
L 200.0, 921.0, 124.0, 213.0, 927.0, 129.0, 0, 204, 0
L 188.0, 912.0, 118.0, 200.0, 921.0, 124.0, 0, 204, 0
L 177.0, 899.0, 112.0, 188.0, 912.0, 118.0, 0, 204, 0
L 171.0, 884.0, 106.0, 177.0, 899.0, 112.0, 0, 204, 0
L 169.0, 869.0, 100.0, 171.0, 884.0, 106.0, 0, 204, 0
L 170.0, 853.0, 95.0, 169.0, 869.0, 100.0, 0, 204, 0
L 176.0, 837.0, 89.0, 170.0, 853.0, 95.0, 0, 204, 0
L 187.0, 823.0, 83.0, 176.0, 837.0, 89.0, 0, 204, 0
L 200.0, 812.0, 77.0, 187.0, 823.0, 83.0, 0, 204, 0
L 217.0, 805.0, 71.0, 200.0, 812.0, 77.0, 0, 204, 0
L 234.0, 802.0, 65.0, 217.0, 805.0, 71.0, 0, 204, 0
L 252.0, 804.0, 59.0, 234.0, 802.0, 65.0, 0, 204, 0
L 267.0, 810.0, 54.0, 252.0, 804.0, 59.0, 0, 204, 0
L 283.0, 822.0, 47.0, 267.0, 810.0, 54.0, 0, 204, 0
L 295.0, 836.0, 41.0, 283.0, 822.0, 47.0, 0, 204, 0
L 302.0, 851.0, 36.0, 295.0, 836.0, 41.0, 0, 204, 0
L 304.0, 859.0, 34.0, 302.0, 851.0, 36.0, 0, 204, 0
L 1716.0, -649.0, 27.0, 1741.0, -679.0, 22.0, 0, 0, 0
L 1686.0, -644.0, 18.0, 1716.0, -649.0, 27.0, 0, 0, 0
L 1651.0, -651.0, 20.0, 1686.0, -644.0, 18.0, 0, 0, 0
L 1737.0, -708.0, 9.0, 1741.0, -679.0, 22.0, 0, 0, 0
L 1729.0, -722.0, 12.0, 1737.0, -708.0, 9.0, 0, 0, 0
L 1701.0, -740.0, 16.0, 1729.0, -722.0, 12.0, 0, 0, 0
L 1666.0, -743.0, 20.0, 1701.0, -740.0, 16.0, 0, 0, 0
L 1640.0, -737.0, 19.0, 1666.0, -743.0, 20.0, 0, 0, 0
L 1615.0, -701.0, 25.0, 1640.0, -737.0, 19.0, 0, 0, 0
L 1621.0, -669.0, 25.0, 1615.0, -701.0, 25.0, 0, 0, 0
L 1651.0, -651.0, 20.0, 1621.0, -669.0, 25.0, 0, 0, 0
L 1949.0, -915.0, 786.0, 1909.0, -973.0, 759.0, 0, 0, 0
L 2015.0, -759.0, 828.0, 1949.0, -915.0, 786.0, 0, 0, 0
L 2019.0, -670.0, 842.0, 2015.0, -759.0, 828.0, 0, 0, 0
L 2027.0, -633.0, 847.0, 2019.0, -670.0, 842.0, 0, 0, 0
L 2049.0, -567.0, 857.0, 2027.0, -633.0, 847.0, 0, 0, 0
L 825.0, 1547.0, 365.0, 824.0, 1562.0, 359.0, 0, 204, 0
L 811.0, 1528.0, 366.0, 825.0, 1547.0, 365.0, 0, 204, 0
L 803.0, 1511.0, 361.0, 811.0, 1528.0, 366.0, 0, 204, 0
L 791.0, 1495.0, 351.0, 803.0, 1511.0, 361.0, 0, 204, 0
L 782.0, 1494.0, 344.0, 791.0, 1495.0, 351.0, 0, 204, 0
L 759.0, 1481.0, 327.0, 782.0, 1494.0, 344.0, 0, 204, 0
L 725.0, 1468.0, 296.0, 759.0, 1481.0, 327.0, 0, 204, 0
L 692.0, 1452.0, 279.0, 725.0, 1468.0, 296.0, 0, 204, 0
L 680.0, 1434.0, 281.0, 692.0, 1452.0, 279.0, 0, 204, 0
L 685.0, 1421.0, 287.0, 680.0, 1434.0, 281.0, 0, 204, 0
L 704.0, 1406.0, 282.0, 685.0, 1421.0, 287.0, 0, 204, 0
L 749.0, 1382.0, 279.0, 704.0, 1406.0, 282.0, 0, 204, 0
L 776.0, 1344.0, 270.0, 749.0, 1382.0, 279.0, 0, 204, 0
L 775.0, 1314.0, 273.0, 776.0, 1344.0, 270.0, 0, 204, 0
L 779.0, 1290.0, 274.0, 775.0, 1314.0, 273.0, 0, 204, 0
